Strategy report
Symbol: EUR/JPY
Work Time: 11/9/22, 9:00 AM - 11/24/22, 9:45 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;TS_5_MIN_TREND;Buy to Open;10000.0;$146.834;11/9/22, 9:00 AM;;($110.00);10000.0;
2;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$146.759;11/9/22, 9:25 AM;($750.00);($750.00);0.0;
3;TS_5_MIN_TREND;Buy to Open;10000.0;$146.769;11/9/22, 9:40 AM;;($770.00);10000.0;
4;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$146.694;11/9/22, 9:55 AM;($750.00);($1,500.00);0.0;
5;TS_5_MIN_TREND;Buy to Open;10000.0;$146.823;11/9/22, 10:05 AM;;($290.00);10000.0;
6;TS_PIP_TARGET_STOP_LX(Take Profit);Sell to Close;-10000.0;$146.973;11/9/22, 10:10 AM;$1,500.00;$0.00;0.0;
7;TS_5_MIN_TREND;Buy to Open;10000.0;$146.777;11/9/22, 11:10 AM;;($310.00);10000.0;
8;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$146.702;11/9/22, 11:15 AM;($750.00);($750.00);0.0;
9;TS_5_MIN_TREND;Sell to Open;-10000.0;$145.369;11/10/22, 8:30 AM;;($2,720.00);-10000.0;
10;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$145.219;11/10/22, 8:35 AM;$1,500.00;$750.00;0.0;
11;TS_5_MIN_TREND;Sell to Open;-10000.0;$145.433;11/10/22, 9:25 AM;;$1,760.00;-10000.0;
12;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$145.283;11/10/22, 9:30 AM;$1,500.00;$2,250.00;0.0;
13;TS_5_MIN_TREND;Sell to Open;-10000.0;$144.272;11/10/22, 10:05 AM;;$4,450.00;-10000.0;
14;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$144.122;11/10/22, 10:10 AM;$1,500.00;$3,750.00;0.0;
15;TS_5_MIN_TREND;Sell to Open;-10000.0;$144.164;11/10/22, 10:35 AM;;$2,640.00;-10000.0;
16;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$144.239;11/10/22, 10:40 AM;($750.00);$3,000.00;0.0;
17;TS_5_MIN_TREND;Sell to Open;-10000.0;$143.422;11/11/22, 10:00 AM;;$4,200.00;-10000.0;
18;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$143.272;11/11/22, 10:05 AM;$1,500.00;$4,500.00;0.0;
19;TS_5_MIN_TREND;Buy to Open;10000.0;$145.237;11/17/22, 10:40 AM;;$4,540.00;10000.0;
20;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$145.162;11/17/22, 10:50 AM;($750.00);$3,750.00;0.0;
21;TS_5_MIN_TREND;Buy to Open;10000.0;$145.21;11/17/22, 11:00 AM;;$3,470.00;10000.0;
22;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$145.135;11/17/22, 11:50 AM;($750.00);$3,000.00;0.0;
23;TS_5_MIN_TREND;Sell to Open;-10000.0;$144.621;11/18/22, 10:00 AM;;$3,440.00;-10000.0;
24;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$144.696;11/18/22, 10:15 AM;($750.00);$2,250.00;0.0;
25;TS_5_MIN_TREND;Buy to Open;10000.0;$145.301;11/21/22, 8:45 AM;;$1,880.00;10000.0;
26;TS_PIP_TARGET_STOP_LX(Stoploss);Sell to Close;-10000.0;$145.226;11/21/22, 8:55 AM;($750.00);$1,500.00;0.0;
27;TS_5_MIN_TREND;Sell to Open;-10000.0;$145.131;11/22/22, 9:20 AM;;$1,650.00;-10000.0;
28;TS_PIP_TARGET_STOP_SX(Take Profit);Buy to Close;10000.0;$144.981;11/22/22, 9:40 AM;$1,500.00;$3,000.00;0.0;
29;TS_5_MIN_TREND;Sell to Open;-10000.0;$143.995;11/24/22, 9:35 AM;;$2,480.00;-10000.0;
30;TS_PIP_TARGET_STOP_SX(Stoploss);Buy to Close;10000.0;$144.07;11/24/22, 9:45 AM;($750.00);$2,250.00;0.0;


Max trade P/L: $1,500.00;

Total P/L: $2,250.00;

Total order(s): 15;
